user,created_at,location,coordinates,tweet_text
Intriguing1,2016-06-02 0:31,i \xe2\x99\xa1 Jersey,,"RT @LilCheeks_: Lawd, I heard someone delivered a baby with the Zika virus at Hackensack hospital \xf0\x9f\x98\xb3"
,,,,
St0psch1ld,2016-06-02 0:31,,,RT: nytimes: A girl with the Zika virus was born at a New Jersey hospital https://t.co/Xd2cIGWKYC
,,,,
zikavirusmap,2016-06-02 0:31,Worldwide,,@ByNateDavis  GOING TO #RioOlympics ?\nGET YOUR ZIKA VIRUS MAP SHIRT TO WEAR IN RIO!\nhttps://t.co/DpSYeV0P9L https://t.co/SeuIGUrJAC
,,,,
Intriguing1,2016-06-02 0:31,i \xe2\x99\xa1 Jersey,,"RT @PayHomage: Shorty from Honduras , found out her fetus had Zika virus and y'all allow her to fly to the US and come to Hackensack hospit\xe2\x80\xa6"
,,,,
giihconsolaro,2016-06-02 0:30,Santos - SP,,"@ThaiamyCaldas @leo_biemex vamo passar dia dos nam\xc3\xb4 fazendo alguma coisa da hr, zika, sem maldade e gl\xc3\xbaten"
,,,,
Keshia_tweets,2016-06-02 0:30,"Southern lady, y'all",,RT @thinkprogress: 2 million U.S. pregnant women could be at risk of Zika. Congress is twiddling its thumbs. https://t.co/iZH3n1egc5 https:\xe2\x80\xa6
,,,,
vito4224,2016-06-02 0:30,USA,,RT @ndn: .@FLGovScott urges Obama administration to provide immediate help to fight #Zika in Florida. https://t.co/ktEcoT1K3W
,,,,
daily_biz_news,2016-06-02 0:30,,,RT @nytimes: A girl with the Zika virus was born at a New Jersey hospital https://t.co/oaPS6MKajP
,,,,
EduCValentin,2016-06-02 0:30,LOs Angeles,,"RT @hechos_puebla: En M\xc3\xa9xico se han registrado  314 casos de Zika, 89 se presentan en mujeres embarazadas.  \nhttps://t.co/zYoDAOu6aK https:\xe2\x80\xa6"
,,,,
rickscottsucksu,2016-06-02 0:30,Florida,,Gov. Rick Scott wants Obama's immediate help to prevent Zika 'disaster' - Orlando Weekly (blog) https://t.co/XDopvV8zrT #rickscott
,,,,
_USHeadlines,2016-06-02 0:30,United States,,RT @nytimes: A girl with the Zika virus was born at a New Jersey hospital https://t.co/oaPS6MKajP
,,,,
artlesscranium,2016-06-02 0:30,,,RT @nytimes: A girl with the Zika virus was born at a New Jersey hospital https://t.co/oaPS6MKajP
,,,,
_daiane_zika,2016-06-02 0:30,,,https://t.co/wYnysiPSAV
,,,,
catalysthcm,2016-06-02 0:30,Texas,,A baby girl delivered Tuesday in New Jersey is the first in the continental U.S. to be born with the Zika... https://t.co/tB55VaNrLm
,,,,
lawrenceenriqu5,2016-06-02 0:30,"Zamboanga City, Zamboanga Peni",,RT @nytimes: A girl with the Zika virus was born at a New Jersey hospital https://t.co/oaPS6MKajP
,,,,
zikavirusmap,2016-06-02 0:30,Worldwide,,GOING TO #RioOlympics ?\nGET YOUR ZIKA VIRUS MAP SHIRT TO WEAR IN RIO!\nhttps://t.co/DpSYeV0P9L\n#Olympics #Rio2016 https://t.co/wAI3cUpUpF
,,,,
Andrew_Boven,2016-06-02 0:30,"Los Angeles, CA",,RT @nytimes: A girl with the Zika virus was born at a New Jersey hospital https://t.co/oaPS6MKajP
,,,,
